"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","taxon","trainingExamples","spatialResolution","learningRate","treeComplexity","nTrees","GBMemory","numPredictors","cells"
"140",1469.448,1444.441,22.7150000000038,2.24599999999919,0.789025509490309,1,"Picea",6000,0.5,0.001,2,NA,3.75,5,35000
"141",1274.488,1251.763,20.7819999999992,1.89800000000105,0.780006380404889,1,"Picea",6000,0.5,0.001,2,NA,3.75,5,35000
"142",1378.00199999999,1353.727,22.3260000000009,1.90699999999924,0.795379802460413,1,"Picea",6000,0.5,0.001,2,NA,3.75,5,35000
"143",3126.465,3100.478,24.025999999998,1.89300000000367,0.792303623376603,1,"Picea",11000,0.5,0.001,2,NA,3.75,5,35000
"144",2900.018,2876.137,22.0049999999974,1.81999999999971,0.781711606035257,1,"Picea",11000,0.5,0.001,2,NA,3.75,5,35000
"145",3130.24,3105.138,22.8369999999995,2.21199999999953,0.79566458608145,1,"Picea",11000,0.5,0.001,2,NA,3.75,5,35000
"146",171.955000000002,152.906999999999,17.1169999999984,1.90299999999843,0.775889374170571,1,"Picea",1000,0.5,0.001,3,NA,3.75,5,35000
"147",84.3099999999977,70.6150000000052,11.7239999999947,1.94200000000274,0.740255604454126,1,"Picea",1000,0.5,0.001,3,NA,3.75,5,35000
"148",146.928,128.980000000003,16.0210000000006,1.8859999999986,0.771052176767023,1,"Picea",1000,0.5,0.001,3,NA,3.75,5,35000
"149",1462.387,1438.037,22.4279999999999,1.88099999999395,0.794947601175338,1,"Picea",6000,0.5,0.001,3,NA,3.75,5,35000
"150",1122.53799999999,1100.99,19.6330000000016,1.87399999999616,0.788150923750363,1,"Picea",6000,0.5,0.001,3,NA,3.75,5,35000
"151",1428.905,1404.707,22.2819999999992,1.87400000000343,0.797998822109436,1,"Picea",6000,0.5,0.001,3,NA,3.75,5,35000
"152",3208.735,3182.15300000001,24.6559999999954,1.87299999999959,0.800324774568241,1,"Picea",11000,0.5,0.001,3,NA,3.75,5,35000
"153",3239.922,3213.874,24.1650000000009,1.82400000000052,0.806487560985043,1,"Picea",11000,0.5,0.001,3,NA,3.75,5,35000
"154",3118.57,3093.121,23.5469999999987,1.85300000000279,0.799587251463902,1,"Picea",11000,0.5,0.001,3,NA,3.75,5,35000
"155",111.807999999997,96.7869999999966,13.1440000000002,1.84900000000198,0.774825980057573,1,"Picea",1000,0.5,0.001,4,NA,3.75,5,35000
"156",130.819000000003,113.715000000004,15.1909999999989,1.88500000000204,0.779952607364485,1,"Picea",1000,0.5,0.001,4,NA,3.75,5,35000
"157",125.099000000002,108.527999999998,14.6440000000002,1.90000000000146,0.7647589465787,1,"Picea",1000,0.5,0.001,4,NA,3.75,5,35000
"158",1684.334,1657.323,25.148000000001,1.81899999999587,0.807463789502252,1,"Picea",6000,0.5,0.001,4,NA,3.75,5,35000
"159",1360.928,1336.781,22.2150000000038,1.89299999999639,0.8018613346221,1,"Picea",6000,0.5,0.001,4,NA,3.75,5,35000
