"","X","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","spatialResolution","taxon","numPredictors","trainingExamples","cells","cores","GBMemory","ID_unit","Prob","Stratum"
"182",4021,51.004,38.374,10.681,1.90899999999999,0.750826966267689,0.5,"Picea",5,500,35000,2,2,4021,0.1,182
"183",4007,196.65,97.013,97.38,2.22299999999996,0.773942118592645,0.1,"Picea",5,1000,875000,2,2,4007,0.1,183
"184",4057,95.817,28.795,64.8920000000001,2.09900000000005,0.748455873036776,0.1,"Picea",5,500,875000,2,2,4057,0.1,184
"185",4016,94.748,73.274,19.415,2.01200000000006,0.778989964812021,0.25,"Picea",5,1000,140000,2,2,4016,0.1,185
"186",4088,48.016,36.165,9.887,1.935,0.763944393606101,0.5,"Picea",5,500,35000,2,3,4088,0.1,186
"187",4102,10.421,1.846,6.63100000000003,1.90600000000001,0.684524213589919,0.25,"Picea",5,50,140000,2,3,4102,0.1,187
"188",4119,11.578,0.863,8.66699999999997,2.01700000000005,0.633237448455901,0.1,"Picea",5,50,875000,2,3,4119,0.111111111111111,188
"189",4152,58.8629999999999,47.222,9.59900000000005,2.00999999999999,0.754917644915799,1,"Picea",5,500,8750,2,3,4152,0.1,189
"190",4169,93.5690000000001,26.678,64.759,2.101,0.764573013213692,0.1,"Picea",5,500,875000,2,3,4169,0.1,190
"191",4177,12.8499999999999,4.04500000000007,6.73899999999992,2.03899999999999,0.697489431771649,0.5,"Picea",5,50,35000,2,3,4177,0.1,191
"192",4101,130.756,103.758,24.729,2.22499999999997,0.772092924592747,0.25,"Picea",5,1000,140000,2,3,4101,0.1,192
"193",4173,84.995,72.244,10.691,2.01900000000001,0.778095456152011,0.5,"Picea",5,1000,35000,2,3,4173,0.1,193
"194",4158,102.889,91.154,9.58800000000008,2.11500000000001,0.787622527197507,1,"Picea",5,1000,8750,2,3,4158,0.1,194
"195",4184,9.48299999999995,2.64400000000001,4.74200000000008,2.06599999999992,0.716493744678064,1,"Picea",5,50,8750,2,3,4184,0.1,195
"196",4136,43.842,27.611,14.182,2.01800000000003,0.764893792756893,0.25,"Picea",5,500,140000,2,3,4136,0.1,196
"197",4288,171.888,82.713,87.025,2.11500000000001,0.780283347484379,0.1,"Picea",5,1000,875000,2,3,4288,0.1,197
"198",4235,6.34300000000002,0.819000000000017,3.54500000000002,1.94299999999998,0.684045391968074,0.5,"Picea",5,50,35000,2,4,4235,0.111111111111111,198
"199",4206,8.428,1.166,5.32700000000006,1.904,0.68556534403073,0.25,"Picea",5,50,140000,2,4,4206,0.111111111111111,199
"200",4280,45.17,28.3430000000001,14.7239999999999,2.06200000000001,0.751702731133629,0.25,"Picea",5,500,140000,2,4,4280,0.1,200
"201",4196,40.116,4.20600000000002,33.58,2.13,0.703745893264867,0.1,"Picea",5,50,875000,2,4,4196,0.111111111111111,201
"202",4309,83.947,25.288,56.6510000000001,1.976,0.7604060161638,0.1,"Picea",5,500,875000,2,4,4309,0.1,202
"203",4216,7.702,1.45699999999999,4.20299999999997,2.012,0.689233791027402,1,"Picea",5,50,8750,2,4,4216,0.1,203
"204",4270,115.101,102.683,10.3370000000001,2.04499999999996,0.767370836030657,1,"Picea",5,1000,8750,2,4,4270,0.1,204
"205",4275,92.384,78.678,11.61,2.05200000000002,0.769716614528496,0.5,"Picea",5,1000,35000,2,4,4275,0.1,205
"206",4220,177.7,84.5,90.981,2.16699999999997,0.764377703780292,0.1,"Picea",5,1000,875000,2,4,4220,0.1,206
"207",4271,150.755,121.567,27.139,2.01200000000006,0.777514175163696,0.25,"Picea",5,1000,140000,2,4,4271,0.1,207
"208",4238,39.861,30.562,7.322,1.94599999999997,0.76871933778851,1,"Picea",5,500,8750,2,4,4238,0.1,208
"209",4212,34.656,24.346,8.327,1.952,0.759511677957325,0.5,"Picea",5,500,35000,2,4,4212,0.1,209
