"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","numTrees","cores","GBMemory","taxon","method","trainingExamples","spatialResolution","numPredictors","cells"
"116",102.43,61.836,38.4929999999999,2.07900000000006,0.792343111035162,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"117",100.033,59.6719999999999,38.2250000000001,2.11400000000003,0.781857025160597,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"118",99.566,59.5820000000001,37.874,2.08500000000004,0.789981666063152,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"119",100.093,59.771,38.2929999999999,2.00200000000018,0.793321171315869,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"120",105.892,64.2619999999999,39.5430000000001,2.06400000000008,0.78018474446911,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"121",95.203,85.5220000000002,7.56999999999994,2.06700000000001,0.869821946636127,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"122",95.596,85.981,7.52299999999991,2.04899999999998,0.863119192337095,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"123",90.519,80.9479999999999,7.47500000000014,2.05299999999988,0.862295818470013,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"124",94.402,84.7749999999999,7.50700000000006,2.07799999999997,0.861928391185478,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"125",92.1319999999998,82.49,7.50299999999993,2.09500000000003,0.867988351939677,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"126",95.375,85.633,7.63400000000001,2.06499999999983,0.872641042989487,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"127",1159.958,1123.854,33.9659999999999,2.0949999999998,0.860366584734122,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"128",1000.095,969.669,28.2909999999997,2.08700000000044,0.865589242501496,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"129",932.65,899.048000000001,31.4349999999995,2.11599999999999,0.861961277704898,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"130",929.098,899.334,27.5309999999999,2.10699999999997,0.86936207528574,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"131",1075.928,1042.744,30.9560000000001,2.17099999999937,0.864714366577406,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"132",984.502,953.835999999999,28.5219999999999,2.10000000000036,0.858907103825137,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"133",11.666,2.658,6.969,1.986,0.788419593240199,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"134",11.061,2.206,6.853,1.98,0.784869379061529,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"135",10.949,2,6.949,1.978,0.795365275380569,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"136",10.809,1.943,6.878,1.966,0.792452882123525,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
