"","numPredictors","trainingExamples","cells","config","TotalRate","cores","GBMemory","accuracy","seconds","cost"
"11043",3,8000,1e+05,202,3.23646,17,18,0.809313126833336,3.22820930740072,10.4479702950301
"11044",4,8000,1e+05,202,3.23646,17,18,0.853444518505925,3.18476922027503,10.3073781906513
"11045",5,8000,1e+05,202,3.23646,17,18,0.846311353541653,3.23356363577454,10.4652993646389
"11046",1,9000,1e+05,202,3.23646,17,18,0.645976559154767,3.35414462462042,10.855554911799
"11047",2,9000,1e+05,202,3.23646,17,18,0.703430339361707,3.3382345471089,10.8040625823361
"11048",3,9000,1e+05,202,3.23646,17,18,0.811290960304042,3.34139386376121,10.8142875843086
"11049",4,9000,1e+05,202,3.23646,17,18,0.853951660356727,3.29674264194675,10.669775690955
"11050",5,9000,1e+05,202,3.23646,17,18,0.84679031375753,3.34469557802796,10.8249734504644
"11051",1,10000,1e+05,202,3.23646,17,18,0.652795182135525,3.46934683886937,11.2284022701272
"11052",2,10000,1e+05,202,3.23646,17,18,0.709415776139714,3.45181639179202,11.1716656793792
"11053",3,10000,1e+05,202,3.23646,17,18,0.816766007635527,3.45313590773881,11.1759362399604
"11054",4,10000,1e+05,202,3.23646,17,18,0.858973372832446,3.40678394217643,11.0259199574963
"11055",5,10000,1e+05,202,3.23646,17,18,0.85180746736537,3.45726934964266,11.1893139593445
"11056",1,0,1e+05,203,3.57714,17,20,0.572640167948537,2.40760022919644,8.61232308386776
"11057",2,0,1e+05,203,3.57714,17,20,0.623328981041521,2.38228221901895,8.52175701694143
"11058",3,0,1e+05,203,3.57714,17,20,0.738977116926082,2.37256241411345,8.48698791402178
"11059",4,0,1e+05,203,3.57714,17,20,0.792864939898445,2.3314491037327,8.33991984692638
"11060",5,0,1e+05,203,3.57714,17,20,0.786881497220879,2.39644134720228,8.57240620073115
"11061",1,1000,1e+05,203,3.57714,17,20,0.572640167948537,2.40760022919644,8.61232308386776
"11062",2,1000,1e+05,203,3.57714,17,20,0.623328981041521,2.38228221901895,8.52175701694143
"11063",3,1000,1e+05,203,3.57714,17,20,0.738977116926082,2.37256241411345,8.48698791402178
"11064",4,1000,1e+05,203,3.57714,17,20,0.792864939898445,2.3314491037327,8.33991984692638
"11065",5,1000,1e+05,203,3.57714,17,20,0.786881497220879,2.39644134720228,8.57240620073115
"11066",1,2000,1e+05,203,3.57714,17,20,0.579795384511212,2.46423782726204,8.81492370141213
"11067",2,2000,1e+05,203,3.57714,17,20,0.633329225465447,2.43828656907654,8.72209241770647
"11068",3,2000,1e+05,203,3.57714,17,20,0.751557345616791,2.42806148259807,8.68551585186087
"11069",4,2000,1e+05,203,3.57714,17,20,0.802524574317863,2.38686787715635,8.53816055809105
"11070",5,2000,1e+05,203,3.57714,17,20,0.795748175729845,2.4519128298091,8.77083546002331
"11071",1,3000,1e+05,203,3.57714,17,20,0.613653388681626,2.70942114901617,9.6919787689917
"11072",2,3000,1e+05,203,3.57714,17,20,0.667268332044032,2.69061105938103,9.62469244495426
"11073",3,3000,1e+05,203,3.57714,17,20,0.785504517420698,2.67943502951921,9.58471422149435
"11074",4,3000,1e+05,203,3.57714,17,20,0.836357503308891,2.64329955333663,9.4554525642226
"11075",5,3000,1e+05,203,3.57714,17,20,0.829573878939644,2.72082166959437,9.73276002717281
"11076",1,4000,1e+05,203,3.57714,17,20,0.613232039705979,3.00479450024356,10.7485705986012
"11077",2,4000,1e+05,203,3.57714,17,20,0.666794240478469,2.98746856558228,10.686593304687
"11078",3,4000,1e+05,203,3.57714,17,20,0.785017611291287,2.97838726916541,10.6541082360223
"11079",4,4000,1e+05,203,3.57714,17,20,0.835669759465341,2.94432573995099,10.5322653774083
"11080",5,4000,1e+05,203,3.57714,17,20,0.82889140297453,3.02389283920004,10.816888030816
"11081",1,5000,1e+05,203,3.57714,17,20,0.620288854573868,3.27458582703072,11.7136519453047
"11082",2,5000,1e+05,203,3.57714,17,20,0.673864397057686,3.25976897104555,11.6606499770859
"11083",3,5000,1e+05,203,3.57714,17,20,0.792054071522022,3.24976869220233,11.6248775796246
"11084",4,5000,1e+05,203,3.57714,17,20,0.841638281669778,3.21542092826901,11.5020108193482
"11085",5,5000,1e+05,203,3.57714,17,20,0.834568432785439,3.29775669587112,11.7965373870684
"11086",1,6000,1e+05,203,3.57714,17,20,0.624360886064138,2.99113320866511,10.6997022460443
"11087",2,6000,1e+05,203,3.57714,17,20,0.677899811121272,2.98292196814356,10.6703294891251
"11088",3,6000,1e+05,203,3.57714,17,20,0.796056220690515,2.96968583080322,10.6229819727994
"11089",4,6000,1e+05,203,3.57714,17,20,0.845039718615079,2.93016559286162,10.481612548849
"11090",5,6000,1e+05,203,3.57714,17,20,0.837846702503524,2.98536739033666,10.6790771066689
"11091",1,7000,1e+05,203,3.57714,17,20,0.638686356364267,3.04127950725368,10.8790825765774
"11092",2,7000,1e+05,203,3.57714,17,20,0.692544680388083,3.03140602448046,10.84376374641
"11093",3,7000,1e+05,203,3.57714,17,20,0.800840307963029,3.02523551241051,10.8216909608641
"11094",4,7000,1e+05,203,3.57714,17,20,0.849783383432773,2.98302085537526,10.670683222597
"11095",5,7000,1e+05,203,3.57714,17,20,0.842591210066406,3.03630675234773,10.8612943360932
"11096",1,8000,1e+05,203,3.57714,17,20,0.643657907482875,3.2467147379223,11.6139531576114
"11097",2,8000,1e+05,203,3.57714,17,20,0.701268330928011,3.23570625581697,11.5745742759331
"11098",3,8000,1e+05,203,3.57714,17,20,0.809313126833336,3.22820930740072,11.5477566418754
"11099",4,8000,1e+05,203,3.57714,17,20,0.853444518505925,3.18476922027503,11.3923653686146
"11100",5,8000,1e+05,203,3.57714,17,20,0.846311353541653,3.23356363577454,11.5669098240745
"11101",1,9000,1e+05,203,3.57714,17,20,0.645976559154767,3.35414462462042,11.9982449025147
"11102",2,9000,1e+05,203,3.57714,17,20,0.703430339361707,3.3382345471089,11.9413323278451
"11103",3,9000,1e+05,203,3.57714,17,20,0.811290960304042,3.34139386376121,11.9526336458148
"11104",4,9000,1e+05,203,3.57714,17,20,0.853951660356727,3.29674264194675,11.7929099742134
"11105",5,9000,1e+05,203,3.57714,17,20,0.84679031375753,3.34469557802796,11.9644443399869
"11106",1,10000,1e+05,203,3.57714,17,20,0.652795182135525,3.46934683886937,12.4103393511932
"11107",2,10000,1e+05,203,3.57714,17,20,0.709415776139714,3.45181639179202,12.3476304877349
"11108",3,10000,1e+05,203,3.57714,17,20,0.816766007635527,3.45313590773881,12.3523505810088
"11109",4,10000,1e+05,203,3.57714,17,20,0.858973372832446,3.40678394217643,12.186543110917
"11110",5,10000,1e+05,203,3.57714,17,20,0.85180746736537,3.45726934964266,12.3671364813807
"11111",1,0,1e+05,204,3.91782,17,22,0.572640167948537,2.40760022919644,9.4325443299504
"11112",2,0,1e+05,204,3.91782,17,22,0.623328981041521,2.38228221901895,9.33335292331681
"11113",3,0,1e+05,204,3.91782,17,22,0.738977116926082,2.37256241411345,9.29527247726195
"11114",4,0,1e+05,204,3.91782,17,22,0.792864939898445,2.3314491037327,9.13419792758604
"11115",5,0,1e+05,204,3.91782,17,22,0.786881497220879,2.39644134720228,9.38882583889602
"11116",1,1000,1e+05,204,3.91782,17,22,0.572640167948537,2.40760022919644,9.4325443299504
"11117",2,1000,1e+05,204,3.91782,17,22,0.623328981041521,2.38228221901895,9.33335292331681
"11118",3,1000,1e+05,204,3.91782,17,22,0.738977116926082,2.37256241411345,9.29527247726195
"11119",4,1000,1e+05,204,3.91782,17,22,0.792864939898445,2.3314491037327,9.13419792758604
"11120",5,1000,1e+05,204,3.91782,17,22,0.786881497220879,2.39644134720228,9.38882583889602
"11121",1,2000,1e+05,204,3.91782,17,22,0.579795384511212,2.46423782726204,9.65444024440376
"11122",2,2000,1e+05,204,3.91782,17,22,0.633329225465447,2.43828656907654,9.55276788605947
"11123",3,2000,1e+05,204,3.91782,17,22,0.751557345616791,2.42806148259807,9.51270783775238
"11124",4,2000,1e+05,204,3.91782,17,22,0.802524574317863,2.38686787715635,9.35131870648068
"11125",5,2000,1e+05,204,3.91782,17,22,0.795748175729845,2.4519128298091,9.60615312288267
"11126",1,3000,1e+05,204,3.91782,17,22,0.613653388681626,2.70942114901617,10.6150243660385
"11127",2,3000,1e+05,204,3.91782,17,22,0.667268332044032,2.69061105938103,10.5413298206642
"11128",3,3000,1e+05,204,3.91782,17,22,0.785504517420698,2.67943502951921,10.497544147351
"11129",4,3000,1e+05,204,3.91782,17,22,0.836357503308891,2.64329955333663,10.3559718560533
"11130",5,3000,1e+05,204,3.91782,17,22,0.829573878939644,2.72082166959437,10.6596895535702
"11131",1,4000,1e+05,204,3.91782,17,22,0.613232039705979,3.00479450024356,11.7722439889442
"11132",2,4000,1e+05,204,3.91782,17,22,0.666794240478469,2.98746856558228,11.7043640956096
"11133",3,4000,1e+05,204,3.91782,17,22,0.785017611291287,2.97838726916541,11.6687852108816
"11134",4,4000,1e+05,204,3.91782,17,22,0.835669759465341,2.94432573995099,11.5353382704948
"11135",5,4000,1e+05,204,3.91782,17,22,0.82889140297453,3.02389283920004,11.8470678432747
"11136",1,5000,1e+05,204,3.91782,17,22,0.620288854573868,3.27458582703072,12.8292378448575
"11137",2,5000,1e+05,204,3.91782,17,22,0.673864397057686,3.25976897104555,12.7711880701417
"11138",3,5000,1e+05,204,3.91782,17,22,0.792054071522022,3.24976869220233,12.7320087776841
"11139",4,5000,1e+05,204,3.91782,17,22,0.841638281669778,3.21542092826901,12.5974404211909
"11140",5,5000,1e+05,204,3.91782,17,22,0.834568432785439,3.29775669587112,12.9200171382178
"11141",1,6000,1e+05,204,3.91782,17,22,0.624360886064138,2.99113320866511,11.7187215075724
"11142",2,6000,1e+05,204,3.91782,17,22,0.677899811121272,2.98292196814356,11.6865513452322
"11143",3,6000,1e+05,204,3.91782,17,22,0.796056220690515,2.96968583080322,11.6346945416375
"11144",4,6000,1e+05,204,3.91782,17,22,0.845039718615079,2.93016559286162,11.4798613630251
"11145",5,6000,1e+05,204,3.91782,17,22,0.837846702503524,2.98536739033666,11.6961320692088
"11146",1,7000,1e+05,204,3.91782,17,22,0.638686356364267,3.04127950725368,11.9151856791086
"11147",2,7000,1e+05,204,3.91782,17,22,0.692544680388083,3.03140602448046,11.87650315083
"11148",3,7000,1e+05,204,3.91782,17,22,0.800840307963029,3.02523551241051,11.8523281952322
"11149",4,7000,1e+05,204,3.91782,17,22,0.849783383432773,2.98302085537526,11.6869387676063
"11150",5,7000,1e+05,204,3.91782,17,22,0.842591210066406,3.03630675234773,11.895703320483
"11151",1,8000,1e+05,204,3.91782,17,22,0.643657907482875,3.2467147379223,12.7200439345267
"11152",2,8000,1e+05,204,3.91782,17,22,0.701268330928011,3.23570625581697,12.6769146831649
"11153",3,8000,1e+05,204,3.91782,17,22,0.809313126833336,3.22820930740072,12.6475429887207
"11154",4,8000,1e+05,204,3.91782,17,22,0.853444518505925,3.18476922027503,12.4773525465779
"11155",5,8000,1e+05,204,3.91782,17,22,0.846311353541653,3.23356363577454,12.6685202835102
"11156",1,9000,1e+05,204,3.91782,17,22,0.645976559154767,3.35414462462042,13.1409348932304
"11157",2,9000,1e+05,204,3.91782,17,22,0.703430339361707,3.3382345471089,13.0786020733542
"11158",3,9000,1e+05,204,3.91782,17,22,0.811290960304042,3.34139386376121,13.090979707321
"11159",4,9000,1e+05,204,3.91782,17,22,0.853951660356727,3.29674264194675,12.9160442574718
"11160",5,9000,1e+05,204,3.91782,17,22,0.84679031375753,3.34469557802796,13.1039152295095
"11161",1,10000,1e+05,204,3.91782,17,22,0.652795182135525,3.46934683886937,13.5922764322592
"11162",2,10000,1e+05,204,3.91782,17,22,0.709415776139714,3.45181639179202,13.5235952960906
"11163",3,10000,1e+05,204,3.91782,17,22,0.816766007635527,3.45313590773881,13.5287649220573
"11164",4,10000,1e+05,204,3.91782,17,22,0.858973372832446,3.40678394217643,13.3471662643377
"11165",5,10000,1e+05,204,3.91782,17,22,0.85180746736537,3.45726934964266,13.544959003417
"11166",1,0,1e+05,205,0.54108,18,2,0.569915386792976,1.54782384359107,0.837496525290256
"11167",2,0,1e+05,205,0.54108,18,2,0.634516628573159,1.51444290434242,0.819434766681596
"11168",3,0,1e+05,205,0.54108,18,2,0.749726908535738,1.47619992984647,0.79874225804133
"11169",4,0,1e+05,205,0.54108,18,2,0.804412046066597,1.44000964310654,0.779160417692088
"11170",5,0,1e+05,205,0.54108,18,2,0.798460082654827,1.49887891616984,0.811013403961177
"11171",1,1000,1e+05,205,0.54108,18,2,0.569915386792976,1.54782384359107,0.837496525290256
"11172",2,1000,1e+05,205,0.54108,18,2,0.634516628573159,1.51444290434242,0.819434766681596
"11173",3,1000,1e+05,205,0.54108,18,2,0.749726908535738,1.47619992984647,0.79874225804133
"11174",4,1000,1e+05,205,0.54108,18,2,0.804412046066597,1.44000964310654,0.779160417692088
"11175",5,1000,1e+05,205,0.54108,18,2,0.798460082654827,1.49887891616984,0.811013403961177
"11176",1,2000,1e+05,205,0.54108,18,2,0.586075699984405,1.51868328894876,0.821729153984396
"11177",2,2000,1e+05,205,0.54108,18,2,0.654055793321925,1.48292644301825,0.802381839788317
"11178",3,2000,1e+05,205,0.54108,18,2,0.772010887621637,1.44313783921023,0.780853022039869
"11179",4,2000,1e+05,205,0.54108,18,2,0.823760501850068,1.40640177745014,0.760975873742724
"11180",5,2000,1e+05,205,0.54108,18,2,0.816998818998557,1.46633655813358,0.79340538487492
"11181",1,3000,1e+05,205,0.54108,18,2,0.599093604748412,1.73770016070092,0.940234802952056
"11182",2,3000,1e+05,205,0.54108,18,2,0.667190576589292,1.6920931294493,0.915557750482427
