"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","cells"
"96",5.03000000000065,0.0590000000001965,2.95299999999952,1.98900000000049,0.736765540341937,1,4,5000,0.5,"Picea",35000
"97",5.11999999999989,0.0590000000001965,2.98000000000047,2.04999999999927,0.732894888138939,1,4,5000,0.5,"Picea",35000
"98",4.96000000000004,0.0599999999994907,2.93299999999999,1.9380000000001,0.736660086401217,1,4,5000,0.5,"Picea",35000
"99",5.38400000000001,0.0590000000001965,3.14999999999964,2.14400000000023,0.734611763435907,1,4,5000,0.5,"Picea",35000
"100",5.08800000000065,0.0590000000001965,3.11399999999958,1.88600000000042,0.724579292827903,1,4,5000,0.5,"Picea",35000
"101",5.52099999999973,0.125,3.47400000000016,1.84099999999944,0.743414303115365,8,16,10000,0.5,"Picea",35000
"102",5.54600000000028,0.104000000000269,3.51299999999992,1.88100000000031,0.734376969562155,8,16,10000,0.5,"Picea",35000
"103",5.62100000000009,0.103000000000065,3.58299999999963,1.88299999999981,0.745475253256049,8,16,10000,0.5,"Picea",35000
"104",5.625,0.104999999999563,3.57499999999982,1.89600000000064,0.722774048826471,8,16,10000,0.5,"Picea",35000
"105",5.5,0.100000000000364,3.47400000000016,1.88199999999961,0.745237362845558,8,16,10000,0.5,"Picea",35000
"106",5.61300000000028,0.10399999999936,3.5610000000006,1.89499999999953,0.748468437485694,8,16,10000,0.5,"Picea",35000
"107",5.58700000000044,0.104999999999563,3.54899999999998,1.88800000000083,0.736781402054424,8,16,10000,0.5,"Picea",35000
"108",5.56899999999951,0.106000000000677,3.53499999999985,1.8769999999995,0.732483102759961,8,16,10000,0.5,"Picea",35000
"109",5.5590000000002,0.106000000000677,3.51999999999953,1.88600000000042,0.738817767675001,8,16,10000,0.5,"Picea",35000
"110",5.7510000000002,0.139000000000124,3.31500000000051,2.22699999999986,0.740411853292862,1,4,10000,0.5,"Picea",35000
"111",5.55299999999988,0.100999999999658,3.50500000000011,1.90399999999954,0.742032346287853,8,16,10000,0.5,"Picea",35000
"112",5.39600000000064,0.108000000000175,2.96200000000044,2.28200000000015,0.738126808734544,1,4,10000,0.5,"Picea",35000
"113",5.66200000000026,0.21100000000024,3.49300000000039,1.89300000000003,0.741652584004716,8,16,20000,0.5,"Picea",35000
"114",5.31700000000001,0.108000000000175,3.11899999999969,2.04399999999987,0.733527011169565,1,4,10000,0.5,"Picea",35000
