"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","numPredictors","cells"
"93",5.08899999999994,0.011000000000422,2.9380000000001,2.10999999999967,0.704467465299128,1,4,5000,0.5,"Picea",5,35000
"94",5.07999999999993,0.0109999999995125,2.9380000000001,2.10100000000057,0.719122286218447,1,4,5000,0.5,"Picea",5,35000
"95",5.13800000000083,0.0109999999995125,2.9940000000006,2.10300000000007,0.709407187855504,1,4,5000,0.5,"Picea",5,35000
"96",5.18900000000031,0.0109999999995125,2.97000000000025,2.17799999999988,0.711354641992825,1,4,5000,0.5,"Picea",5,35000
"97",5.18199999999979,0.0180000000000291,2.98999999999978,2.125,0.711183849034739,1,4,5000,0.5,"Picea",5,35000
"98",5.22900000000027,0.0119999999997162,2.99900000000071,2.1880000000001,0.714832700176849,1,4,5000,0.5,"Picea",5,35000
"99",5.07400000000052,0.011000000000422,2.9409999999998,2.09100000000035,0.707735587566929,1,4,5000,0.5,"Picea",5,35000
"100",5.16800000000057,0.0119999999997162,3.03099999999995,2.09600000000046,0.716701813823931,1,4,5000,0.5,"Picea",5,35000
"101",5.66100000000006,0.0219999999999345,3.52400000000034,2.07200000000012,0.711851490261682,8,16,10000,0.5,"Picea",5,35000
"102",5.72800000000007,0.0190000000002328,3.59899999999925,2.0600000000004,0.701763511461376,8,16,10000,0.5,"Picea",5,35000
"103",5.69799999999941,0.0190000000002328,3.54500000000007,2.08399999999983,0.713514559621704,8,16,10000,0.5,"Picea",5,35000
"104",5.66299999999956,0.0199999999995271,3.52700000000004,2.06700000000001,0.718358617431371,8,16,10000,0.5,"Picea",5,35000
"105",5.7529999999997,0.0189999999993233,3.6260000000002,2.05799999999999,0.720862789745266,8,16,10000,0.5,"Picea",5,35000
"106",5.59099999999944,0.0200000000004366,3.48700000000008,2.03399999999965,0.713245340090009,8,16,10000,0.5,"Picea",5,35000
"107",5.69999999999982,0.0190000000002328,3.5619999999999,2.06999999999971,0.722498323047087,8,16,10000,0.5,"Picea",5,35000
"108",5.16899999999987,0.0219999999999345,3.01299999999992,2.09299999999985,0.711980553275905,1,4,10000,0.5,"Picea",5,35000
"109",5.17199999999957,0.0199999999995271,3.02500000000055,2.08299999999963,0.718398350770141,1,4,10000,0.5,"Picea",5,35000
"110",5.67399999999998,0.0200000000004366,3.54100000000017,2.0630000000001,0.708362930261891,8,16,10000,0.5,"Picea",5,35000
"111",5.30799999999999,0.0199999999995271,3.17799999999988,2.06500000000051,0.711359939075936,1,4,10000,0.5,"Picea",5,35000
"112",5.86700000000019,0.0190000000002328,3.59199999999964,2.20800000000054,0.713556947943915,8,16,10000,0.5,"Picea",5,35000
"113",5.22100000000046,0.0209999999997308,3.09000000000015,2.06700000000001,0.714374473748837,1,4,10000,0.5,"Picea",5,35000
"114",5.51500000000033,0.0200000000004366,3.44499999999971,2,0.713054162124013,8,16,10000,0.5,"Picea",5,35000
"115",5.19999999999982,0.0190000000002328,3.05199999999968,2.08500000000004,0.709966744344493,1,4,10000,0.5,"Picea",5,35000
"116",5.66899999999987,0.0349999999998545,3.50999999999931,2.0610000000006,0.711133898888474,8,16,20000,0.5,"Picea",5,35000
"117",5.28200000000015,0.0200000000004366,3.13500000000022,2.08100000000013,0.711850700185037,1,4,10000,0.5,"Picea",5,35000
