"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"9602",5,192,21.9769900694933,9.90942482233453,0.711411782192334,9,4
"8604",5,172,21.9801442068054,11.8930164274183,0.710451249798497,9,5
"8605",5,172,21.9801442068054,13.875185831988,0.710451249798497,9,6
"7452",5,149,21.9995809003113,17.8552998503107,0.708628686886364,9,8
"7054",5,141,21.9644653294583,21.7883103175161,0.707811473473954,9,10
"7055",5,141,21.9644653294583,25.7498212843372,0.707811473473954,9,12
"7252",5,145,21.9507671478059,29.692802720837,0.708955997685687,9,14
"300002",5,6000,7.81592890423973,11.9822879659338,0.742484266941675,9,16
"7352",5,147,21.9687150688535,37.641635773275,0.706120123756076,9,18
"7102",5,142,21.9307283366488,41.5319747093788,0.705821579208655,9,20
"7202",5,144,21.9559361635918,45.5396854343524,0.706023911481074,9,22
"13053",5,261,21.9462580258682,6.59704516257598,0.729425783403403,10,2
"9603",5,192,21.9769900694933,11.0104720248161,0.711411782192334,10,4
"8606",5,172,21.9801442068054,13.2144626971314,0.710451249798497,10,5
"8607",5,172,21.9801442068054,15.4168731466533,0.710451249798497,10,6
"7453",5,149,21.9995809003113,19.8392220559008,0.708628686886364,10,8
"7056",5,141,21.9644653294583,24.209233686129,0.707811473473954,10,10
"7057",5,141,21.9644653294583,28.6109125381524,0.707811473473954,10,12
"7253",5,145,21.9507671478059,32.9920030231522,0.708955997685687,10,14
"300003",5,6000,7.81592890423973,13.313653295482,0.742484266941675,10,16
"7353",5,147,21.9687150688535,41.8240397480834,0.706120123756076,10,18
"7103",5,142,21.9307283366488,46.1466385659764,0.705821579208655,10,20
"7203",5,144,21.9559361635918,50.5996504826137,0.706023911481074,10,22
"13054",5,261,21.9462580258682,7.25674967883357,0.729425783403403,11,2
"9604",5,192,21.9769900694933,12.1115192272977,0.711411782192334,11,4
"8608",5,172,21.9801442068054,14.5359089668446,0.710451249798497,11,5
"8609",5,172,21.9801442068054,16.9585604613187,0.710451249798497,11,6
"7454",5,149,21.9995809003113,21.8231442614908,0.708628686886364,11,8
"7058",5,141,21.9644653294583,26.6301570547419,0.707811473473954,11,10
"7059",5,141,21.9644653294583,31.4720037919677,0.707811473473954,11,12
"7254",5,145,21.9507671478059,36.2912033254674,0.708955997685687,11,14
