siteName,latitude,longitude,age,pollenPercentage,presence,bio2,bio7,bio8,bio15,bio18,bio19
China Camp,38.0075,-122.493333333,12973.0,2.1186440678,1,-62.534166666666664,11.440000000000001,14.773333333333333,31.080123934131233,11.073333333333332,26.5
China Camp,38.0075,-122.493333333,13392.0,1.32158590308,1,-72.39333333333332,10.5,15.079999999999998,28.187068867976013,12.119999999999999,25.449999999999999
China Camp,38.0075,-122.493333333,13818.0,2.39520958084,1,-75.08749999999999,10.260000000000002,13.506666666666666,32.390349518763209,10.296666666666667,24.943333333333332
China Camp,38.0075,-122.493333333,14250.0,3.83561643836,1,-101.865,10.109999999999999,14.746666666666664,24.710099960354199,13.243333333333334,25.47666666666667
China Camp,38.0075,-122.493333333,14689.0,3.81355932203,1,-109.03750000000001,9.5399999999999991,14.326666666666668,27.52101934488228,12.366666666666667,25.116666666666664
China Camp,38.0075,-122.493333333,15135.0,1.32625994695,1,-127.57416666666666,9.7099999999999991,13.836666666666668,27.017608333870253,12.996666666666664,25.103333333333335
Mountain Lake,37.78826,-122.470765,-49.0,0.0556096204643,0,-25.448333333333334,13.44,15.469999999999999,15.967536141199986,14.493333333333332,22.149999999999995
Mountain Lake,37.78826,-122.470765,-42.0,0.0766123415517,0,-25.448333333333334,13.44,15.469999999999999,15.967536141199986,14.493333333333332,22.149999999999995
Mountain Lake,37.78826,-122.470765,-34.0,0.173454520225,0,-25.448333333333334,13.44,15.469999999999999,15.967536141199986,14.493333333333332,22.149999999999995
Mountain Lake,37.78826,-122.470765,-26.0,0.103849349211,0,-25.448333333333334,13.44,15.469999999999999,15.967536141199986,14.493333333333332,22.149999999999995
Mountain Lake,37.78826,-122.470765,-19.0,0.110154905336,0,-31.450833333333335,12.92,15.65,15.932500118183892,14.443333333333333,21.846666666666664
Mountain Lake,37.78826,-122.470765,-11.0,0.0955696634583,0,-29.715000000000003,11.77,15.516666666666666,16.935235385741972,13.479999999999999,20.966666666666669
Mountain Lake,37.78826,-122.470765,-3.0,0.0962662449288,0,-25.45833333333334,13.08,22.963333333333335,17.080486571302057,14.686666666666667,21.453333333333333
Mountain Lake,37.78826,-122.470765,5.0,0.233564608092,0,-30.938333333333336,12.359999999999999,14.953333333333333,14.591553371065439,14.68,21.560000000000002
Mountain Lake,37.78826,-122.470765,13.0,0.200856989823,0,-30.938333333333336,12.359999999999999,14.953333333333333,14.591553371065439,14.68,21.560000000000002
Mountain Lake,37.78826,-122.470765,20.0,0.272795471595,0,-34.159166666666664,12.050000000000001,26.313333333333333,14.129801727507768,14.463333333333333,20.793333333333333
Mountain Lake,37.78826,-122.470765,28.0,0.102207686018,0,-33.72083333333333,11.379999999999999,21.330000000000002,14.05639411257193,14.243333333333334,20.393333333333334
Mountain Lake,37.78826,-122.470765,36.0,0.136091453457,0,-36.61083333333334,12.33,15.643333333333333,14.529012734452934,14.590000000000002,20.936666666666667
Mountain Lake,37.78826,-122.470765,42.0,0.239873894867,0,-36.61083333333334,12.33,15.643333333333333,14.529012734452934,14.590000000000002,20.936666666666667
Mountain Lake,37.78826,-122.470765,52.0,0.136677373061,0,-36.67333333333333,11.85,20.916666666666668,16.489111774976731,13.520000000000001,20.656666666666666
Mountain Lake,37.78826,-122.470765,60.0,0.209884901828,0,-31.898333333333337,12.01,23.176666666666666,14.435602727710062,14.869999999999999,20.459999999999997
Mountain Lake,37.78826,-122.470765,68.0,0.159489633174,0,-27.810833333333335,12.030000000000001,15.030000000000001,14.424678027381876,15.369999999999999,21.283333333333335
Mountain Lake,37.78826,-122.470765,75.0,0.220127949371,0,-26.798333333333332,11.76,14.706666666666665,15.586305038320509,13.743333333333334,20.550000000000001
Mountain Lake,37.78826,-122.470765,83.0,0.191780821918,0,-26.798333333333332,11.76,14.706666666666665,15.586305038320509,13.743333333333334,20.550000000000001
Mountain Lake,37.78826,-122.470765,90.0,0.223531802479,0,-33.089999999999996,11.83,22.493333333333329,16.391631272856394,13.313333333333333,20.34
Mountain Lake,37.78826,-122.470765,96.0,0.150623031631,0,-28.914999999999996,11.92,14.49,15.831999924366022,13.596666666666666,20.736666666666668
Mountain Lake,37.78826,-122.470765,107.0,0.281748213304,0,-31.88,11.74,15.016666666666666,16.060468200684827,13.43,20.609999999999999
Mountain Lake,37.78826,-122.470765,117.0,0.13056624519,0,-37.49166666666667,10.770000000000001,28.640000000000001,14.421666009970849,14.043333333333331,20.190000000000001
Mountain Lake,37.78826,-122.470765,135.0,0.154238197425,0,-40.181666666666665,11.610000000000001,30.953333333333333,14.322179762543815,14.873333333333335,20.486666666666665
Mountain Lake,37.78826,-122.470765,153.0,0.144389438944,0,-33.54416666666666,11.530000000000001,15.176666666666668,14.969339265907392,13.973333333333334,20.746666666666666
Mountain Lake,37.78826,-122.470765,191.0,0.255913681007,0,-37.61083333333334,11.26,13.9,14.175573941923789,14.386666666666668,20.766666666666666
Mountain Lake,37.78826,-122.470765,230.0,0.1246278474,0,-43.6975,10.84,24.353333333333335,13.196822834559155,15.126666666666665,20.540000000000003
Mountain Lake,37.78826,-122.470765,386.0,0.0967051184638,0,-30.714999999999993,11.200000000000001,14.013333333333334,16.478324178310093,14.216666666666667,20.626666666666665
Mountain Lake,37.78826,-122.470765,425.0,0.203901311765,0,-34.99583333333334,12.43,15.156666666666666,16.865420804618143,13.890000000000001,21.400000000000002
Mountain Lake,37.78826,-122.470765,464.0,0.268650547634,0,-30.985833333333332,11.68,14.706666666666665,15.720977727321891,13.926666666666668,20.786666666666665
