"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"5629",4,1126,12.1211443341105,29.9991049582634,0.778521476297867,13,18
"23475",5,4695,21.9938565775875,9.25589460211193,0.828121868544968,14,2
"9060",5,1812,21.9970812930388,15.4287528189374,0.804534508223701,14,4
"90601",5,1812,21.9970812930388,18.5145033827249,0.804534508223701,14,5
"90602",5,1812,21.9970812930388,21.6002539465123,0.804534508223701,14,6
"90603",5,1812,21.9970812930388,27.7717550740873,0.804534508223701,14,8
"7405",5,1481,19.4339702855527,29.9881708682307,0.797292899937605,14,10
"5475",5,1095,16.4449646997836,29.9896954251133,0.788848003265601,14,12
"23610",5,4722,21.9946475157339,9.91738656484443,0.828303695995731,15,2
"8990",5,1798,21.9934919985559,16.5281092369148,0.804228577076559,15,4
"89901",5,1798,21.9934919985559,19.8337310842977,0.804228577076559,15,5
"89902",5,1798,21.9934919985559,23.1393529316807,0.804228577076559,15,6
"89903",5,1798,21.9934919985559,29.7505966264466,0.804228577076559,15,8
"6335",5,1267,18.1447660681502,29.9987417404727,0.79261137465989,15,10
"5404",4,1081,15.3489207559348,29.9902562650211,0.780154590406506,15,12
"22250",5,4450,21.9959597261273,10.5791767898782,0.827649790109234,16,2
"5109",4,1022,21.9967400387531,17.6325868150645,0.780042073408539,16,4
"51091",4,1022,21.9967400387531,21.1591041780773,0.780042073408539,16,5
"51092",4,1022,21.9967400387531,24.6856215410902,0.780042073408539,16,6
"23135",5,4627,21.997682773074,11.2412558506963,0.83071801382482,17,2
"6444",4,1289,21.9981757820811,18.7358463135985,0.787756185499252,17,4
"64441",4,1289,21.9981757820811,22.4830155763182,0.787756185499252,17,5
"64442",4,1289,21.9981757820811,26.2301848390379,0.787756185499252,17,6
"23210",5,4642,21.9960377778832,11.9016161208571,0.830833999586645,18,2
"6904",4,1381,21.9979606555123,19.837760919141,0.789781094521364,18,4
"69041",4,1381,21.9979606555123,23.8053131029692,0.789781094521364,18,5
"69042",4,1381,21.9979606555123,27.7728652867974,0.789781094521364,18,6
"22975",5,4595,21.9952256177134,12.5623531593008,0.83051361320256,19,2
"6964",4,1393,21.9982413939153,20.9401259828679,0.790037655153685,19,4
"69641",4,1393,21.9982413939153,25.1281511794415,0.790037655153685,19,5
"69642",4,1393,21.9982413939153,29.3161763760151,0.790037655153685,19,6
"22795",5,4559,21.9975656886756,13.2249364920318,0.83027080129357,20,2
"6879",4,1376,21.9987620162825,22.0427595403151,0.789665571805702,20,4
"68791",4,1376,21.9987620162825,26.4513114483781,0.789665571805702,20,5
"6144",4,1229,21.3818529246283,29.9944632826686,0.786451498246709,20,6
"22505",5,4501,21.9951744566792,13.8846738275233,0.829878107455037,21,2
"6604",4,1321,21.9963234158994,23.1423318658677,0.788462108388684,21,4
"66041",4,1321,21.9963234158994,27.7707982390413,0.788462108388684,21,5
"22585",5,4517,21.997889870126,14.5476445289117,0.829983589364084,22,2
"6664",4,1333,21.9998489553967,24.2482335186382,0.788722219586081,22,4
"66641",4,1333,21.9998489553967,29.0978802223659,0.788722219586081,22,5
"225851",5,4517,21.9951470792521,15.2070047876533,0.829982655198107,23,2
"6829",4,1366,21.9963185318251,25.3463578442221,0.789445963386156,23,4
"6474",4,1295,21.6956773436291,29.9999148036765,0.787893587721608,23,5
"22460",5,4492,21.9994054525257,15.8712510696701,0.829865596694909,24,2
"6784",4,1357,21.9991975737608,26.45183516269,0.789299095338474,24,4
"5379",4,1076,20.7900205512501,29.9975048529877,0.783155186018222,24,5
