siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,chronologyType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,80.0,,100.0,,,Radiocarbon years BP,2,7.780979827089338,27.0,347.0,18,28,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,100.0,,124.0,,,Radiocarbon years BP,2,5.894736842105263,28.0,475.0,17,27,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,120.0,,285.0,,,Radiocarbon years BP,2,6.323185011709602,27.0,427.0,18,27,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,140.0,,472.0,,,Radiocarbon years BP,2,6.379310344827586,37.0,580.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,170.0,,1109.0,,,Radiocarbon years BP,2,5.021834061135371,23.0,458.0,18,28,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,183.0,,1385.0,,,Radiocarbon years BP,2,8.478802992518704,34.0,401.0,18,27,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,200.0,,1746.0,,,Radiocarbon years BP,2,6.326034063260341,26.0,411.0,18,27,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,218.0,,2018.0,,,Radiocarbon years BP,2,3.7344398340248963,18.0,482.0,18,27,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,240.0,,2324.0,,,Radiocarbon years BP,2,3.009259259259259,13.0,432.0,15,23,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,260.0,,2601.0,,,Radiocarbon years BP,2,6.282722513089005,24.0,382.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,280.0,,2867.0,,,Radiocarbon years BP,2,5.527638190954774,22.0,398.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,300.0,,3122.0,,,Radiocarbon years BP,2,7.888631090487238,34.0,431.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,320.0,,3376.0,,,Radiocarbon years BP,2,4.823151125401929,15.0,311.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,340.0,,3520.0,,,Radiocarbon years BP,2,5.3452115812917596,24.0,449.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,360.0,,3606.0,,,Radiocarbon years BP,2,4.967602591792657,23.0,463.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,380.0,,3691.0,,,Radiocarbon years BP,2,2.358490566037736,15.0,636.0,17,26,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,401.0,,3781.0,,,Radiocarbon years BP,2,5.371900826446281,26.0,484.0,19,29,8,pollen,Core,ABALONE,8
